year,coal,natural_gas,hydro,nuclear,wind_solar_other,biofuels_waste,oil
2002,101664019,89841470,9486544,29048507,2484995,38233755,157404891
2003,109428207,93295652,9534265,28771344,2624270,39019577,160982523
2004,118274720,95875007,10137828,29892180,2819119,39783120,166972157
2005,125280027,98652846,10584939,30216369,2951206,40598379,168721100
2006,132759931,101096766,10968275,30474812,3160364,41542840,170800070
2007,139807062,105542675,11116183,29693234,3463723,42144077,172355407
2008,141740264,108218080,11570628,29843200,3763934,42868129,171808191
2009,141330022,106144892,11778969,29437059,4208980,43109091,168491277
2010,152908425,114571310,12439354,30091061,4614732,44572019,173839340
2011,160036649,116659142,12663008,28196755,5311684,44549726,174230712
2012,161363947,118842792,13261233,26863253,5935717,45676493,175887340
2013,163360235,121251500,13732836,27071301,6883118,46878051,176708643
2014,165306351,121210525,14027377,27686803,7637404,47311282,179616150
2015,160884761,122498648,14046066,28063288,8544353,47562110,181964503
2016,156055760,126753296,14545391,28481552,9529451,48409112,185048662
2017,158953031,130205220,14697482,28783492,10893395,49433985,188495119
2018,162243816,136215945,15163635,29580946,12250459,50860091,188857070
2019,162037946,138730344,15332764,30465719,13523215,51703344,190563173
2020,157526573,137812280,15687313,29222752,14937327,52048390,172919377
2021,168821083,145573377,15479208,30715643,16778507,53768551,183232675
2022,171902932,143897186,15660642,29320058,19018259,54482802,187902349
